Station Name,Longitude,Latitude,Climate ID,Province,Year,Month,Tm,DwTm,D,Tx,DwTx,Tn,DwTn,S,DwS,S%N,P,DwP,P%N,S_G,Pd,BS,DwBS,BS%,HDD,CDD,province
AMHERST (AUT),-64.267,45.85,8200091,NS,2000,8,17.9,0.0,,26.2,0.0,7.6,0.0,,,,58.4,0.0,,,12.0,,,,25.8,22.2,NS
AMHERST (AUT),-64.267,45.85,8200091,NS,2000,9,13.4,2.0,,25.7,2.0,0.5,1.0,,,,78.2,2.0,,,8.0,,,,132.6,2.8,NS
AMHERST (AUT),-64.267,45.85,8200091,NS,2000,10,8.6,0.0,,19.6,0.0,-2.0,0.0,,,,149.0,0.0,,,9.0,,,,290.0,0.0,NS
AMHERST (AUT),-64.267,45.85,8200091,NS,2000,11,3.6,3.0,,12.7,2.0,-9.8,1.0,,,,133.6,3.0,,,16.0,,,,389.1,0.0,NS
AMHERST (AUT),-64.267,45.85,8200091,NS,2000,12,-5.5,1.0,,14.7,0.0,-18.2,1.0,,,,63.8,0.0,,,10.0,,,,703.6,0.0,NS
AMHERST (AUT),-64.267,45.85,8200091,NS,2001,1,-8.4,1.0,,0.5,1.0,-18.5,0.0,,,,38.4,1.0,,,6.0,,,,790.9,0.0,NS
AMHERST (AUT),-64.267,45.85,8200091,NS,2001,2,-8.1,1.0,,5.2,0.0,-21.6,1.0,,,,44.6,0.0,,,11.0,,,,705.7,0.0,NS
AMHERST (AUT),-64.267,45.85,8200091,NS,2001,3,-2.5,0.0,,7.2,0.0,-19.9,0.0,,,,43.4,1.0,,,7.0,,,,637.0,0.0,NS
AMHERST (AUT),-64.267,45.85,8200091,NS,2001,4,2.2,1.0,,18.4,1.0,-8.2,0.0,,,,87.6,1.0,,,10.0,,,,458.0,0.0,NS
AMHERST (AUT),-64.267,45.85,8200091,NS,2001,5,10.2,1.0,,22.2,0.0,-1.9,1.0,,,,169.8,1.0,,,9.0,,,,234.2,0.0,NS
AMHERST (AUT),-64.267,45.85,8200091,NS,2001,6,15.8,0.0,,26.1,0.0,4.3,0.0,,,,59.6,0.0,,,10.0,,,,75.4,8.7,NS
AMHERST (AUT),-64.267,45.85,8200091,NS,2001,7,17.5,1.0,,27.3,1.0,9.0,1.0,,,,28.2,1.0,,,5.0,,,,27.7,13.9,NS
AMHERST (AUT),-64.267,45.85,8200091,NS,2001,8,19.2,1.0,,29.0,1.0,5.9,0.0,,,,15.0,1.0,,,3.0,,,,14.4,49.9,NS
AMHERST (AUT),-64.267,45.85,8200091,NS,2001,9,15.0,0.0,,25.5,0.0,1.8,0.0,,,,37.4,0.0,,,5.0,,,,98.6,7.4,NS
