ClimateID,Date/Time,EventType,MaxGust_kmh,P95_Threshold,ExtremeFlag
8400104,2024-11-23,Extreme Wind,102.0,91.0,1
8400104,2024-12-06,Extreme Wind,108.0,91.0,1
8400104,2024-12-09,Extreme Wind,98.0,91.0,1
8400104,2024-12-17,Extreme Wind,94.0,91.0,1
8400104,2024-12-18,Extreme Wind,92.0,91.0,1
8400104,2024-12-21,Extreme Wind,103.0,91.0,1
8400104,2025-01-05,Extreme Wind,92.0,91.0,1
8400104,2025-02-07,Extreme Wind,101.0,91.0,1
8400104,2025-02-09,Extreme Wind,95.0,91.0,1
8400104,2025-02-10,Extreme Wind,96.0,91.0,1
8400104,2025-02-14,Extreme Wind,95.0,91.0,1
8400104,2025-02-15,Extreme Wind,98.0,91.0,1
8400104,2025-02-26,Extreme Wind,119.0,91.0,1
8400104,2025-02-28,Extreme Wind,103.0,91.0,1
8400104,2025-03-07,Extreme Wind,95.0,91.0,1
8400104,2025-03-08,Extreme Wind,99.0,91.0,1
8400104,2025-03-25,Extreme Wind,99.0,91.0,1
8400104,2025-04-27,Extreme Wind,91.0,91.0,1
8400104,2025-09-26,Extreme Wind,94.0,91.0,1
8400104,2025-11-04,Extreme Wind,97.0,91.0,1
8400104,2025-11-11,Extreme Wind,93.0,91.0,1
8400104,2025-12-03,Extreme Wind,98.0,91.0,1
8400104,2025-12-05,Extreme Wind,113.0,91.0,1
8400104,2025-12-08,Extreme Wind,96.0,91.0,1
8400104,2025-12-12,Extreme Wind,93.0,91.0,1
8400104,2025-12-15,Extreme Wind,108.0,91.0,1
8400104,2025-12-20,Extreme Wind,120.0,91.0,1
8400104,2025-12-26,Extreme Wind,100.0,91.0,1
8400104,2026-01-12,Extreme Wind,127.0,91.0,1
8400104,2026-01-16,Extreme Wind,122.0,91.0,1
8400104,2026-01-17,Extreme Wind,102.0,91.0,1
8400104,2026-02-02,Extreme Wind,97.0,91.0,1
8400104,2026-03-08,Extreme Wind,92.0,91.0,1
8400104,2026-03-13,Extreme Wind,118.0,91.0,1
8400104,2026-03-17,Extreme Wind,96.0,91.0,1
8400104,2026-03-26,Extreme Wind,108.0,91.0,1
8400104,2026-03-27,Extreme Wind,105.0,91.0,1
8200255,2007-08-18,Extreme Wind,93.0,83.0,1
8200255,2007-11-03,Extreme Wind,107.0,83.0,1
8200255,2007-11-04,Extreme Wind,113.0,83.0,1
8200255,2007-12-16,Extreme Wind,87.0,83.0,1
8200255,2007-12-17,Extreme Wind,98.0,83.0,1
8200255,2008-01-27,Extreme Wind,91.0,83.0,1
8200255,2008-02-10,Extreme Wind,83.0,83.0,1
8200255,2008-02-11,Extreme Wind,89.0,83.0,1
8200255,2008-03-09,Extreme Wind,83.0,83.0,1
8200255,2008-05-17,Extreme Wind,95.0,83.0,1
8200255,2008-09-28,Extreme Wind,111.0,83.0,1
8200255,2008-11-26,Extreme Wind,87.0,83.0,1
8200255,2008-12-12,Extreme Wind,98.0,83.0,1
8200255,2008-12-21,Extreme Wind,109.0,83.0,1
8200255,2008-12-22,Extreme Wind,124.0,83.0,1
8200255,2008-12-25,Extreme Wind,89.0,83.0,1
8200255,2009-01-01,Extreme Wind,83.0,83.0,1
8200255,2009-01-08,Extreme Wind,85.0,83.0,1
8200255,2009-01-14,Extreme Wind,83.0,83.0,1
8200255,2009-01-28,Extreme Wind,91.0,83.0,1
8200255,2009-01-29,Extreme Wind,87.0,83.0,1
